| table_name                | column_name               | data_type                |
| time_off                  | updated_at                | timestamp with time zone |
| user_calendar_connections | id                        | uuid                     |
| user_calendar_connections | user_id                   | uuid                     |
| user_calendar_connections | provider                  | text                     |
| user_calendar_connections | access_token              | text                     |
| user_calendar_connections | refresh_token             | text                     |
| user_calendar_connections | expires_at                | timestamp with time zone |
| user_calendar_connections | calendar_id               | text                     |
| user_calendar_connections | sync_enabled              | boolean                  |
| user_calendar_connections | last_sync_at              | timestamp with time zone |
| user_calendar_connections | sync_direction            | text                     |
| user_calendar_connections | created_at                | timestamp with time zone |
| user_calendar_connections | updated_at                | timestamp with time zone |
